request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage
1765852183992,fastvlm_0.5b_stage3,1751,iphone 17 pro max,1.0,,,0,50
1765852186959,fastvlm_0.5b_stage3,1245,iphone 17 pro max,1.0,,,0,50
1765852189941,fastvlm_0.5b_stage3,1245,iphone 17 pro max,1.0,,,0,50
1765852192939,fastvlm_0.5b_stage3,1259,iphone 17 pro max,1.0,,,0,50
1765852197063,fastvlm_0.5b_stage3,1284,iphone 17 pro max,1.0,,,0,50
1765852200105,fastvlm_0.5b_stage3,1324,iphone 17 pro max,1.0,,,0,50
1765852204320,fastvlm_0.5b_stage3,1375,iphone 17 pro max,1.0,,,0,50
1765852208594,fastvlm_0.5b_stage3,1417,iphone 17 pro max,1.0,,,0,50
1765852212917,fastvlm_0.5b_stage3,1469,iphone 17 pro max,1.0,,,0,50
1765852216143,fastvlm_0.5b_stage3,1494,iphone 17 pro max,1.0,,,0,50
1765852219394,fastvlm_0.5b_stage3,1515,iphone 17 pro max,1.0,,,0,50
1765852222665,fastvlm_0.5b_stage3,1536,iphone 17 pro max,1.0,,,0,50
1765852225957,fastvlm_0.5b_stage3,1559,iphone 17 pro max,1.0,,,0,50
1765852229452,fastvlm_0.5b_stage3,1756,iphone 17 pro max,1.0,,,0,50
1765852233033,fastvlm_0.5b_stage3,1818,iphone 17 pro max,1.0,,,0,50
1765852236670,fastvlm_0.5b_stage3,1871,iphone 17 pro max,1.0,,,0,50
1765852240391,fastvlm_0.5b_stage3,1944,iphone 17 pro max,1.0,,,0,50
1765852244119,fastvlm_0.5b_stage3,1939,iphone 17 pro max,1.0,,,0,50
1765852247879,fastvlm_0.5b_stage3,1979,iphone 17 pro max,1.0,,,0,50
1765852251654,fastvlm_0.5b_stage3,1988,iphone 17 pro max,1.0,,,0,50
1765852255458,fastvlm_0.5b_stage3,2009,iphone 17 pro max,1.0,,,0,50
1765852259259,fastvlm_0.5b_stage3,2010,iphone 17 pro max,1.0,,,0,50
1765852263064,fastvlm_0.5b_stage3,2015,iphone 17 pro max,1.0,,,0,50
1765852268312,fastvlm_0.5b_stage3,2276,iphone 17 pro max,1.0,,,0,50
1765852272207,fastvlm_0.5b_stage3,2105,iphone 17 pro max,1.0,,,0,50
1765852276068,fastvlm_0.5b_stage3,2051,iphone 17 pro max,1.0,,,0,50
1765852281360,fastvlm_0.5b_stage3,2324,iphone 17 pro max,1.0,,,0,50
1765852286629,fastvlm_0.5b_stage3,2311,iphone 17 pro max,1.0,,,0,50
1765852291888,fastvlm_0.5b_stage3,2299,iphone 17 pro max,1.0,,,0,50
1765852297167,fastvlm_0.5b_stage3,2313,iphone 17 pro max,1.0,,,0,50
1765852302453,fastvlm_0.5b_stage3,2316,iphone 17 pro max,1.0,,,0,50
1765852307748,fastvlm_0.5b_stage3,2338,iphone 17 pro max,1.0,,,0,50
1765852313022,fastvlm_0.5b_stage3,2316,iphone 17 pro max,1.0,,,0,50
1765852318324,fastvlm_0.5b_stage3,2350,iphone 17 pro max,1.0,,,0,50
1765852323625,fastvlm_0.5b_stage3,2348,iphone 17 pro max,1.0,,,1,50
1765852328948,fastvlm_0.5b_stage3,2359,iphone 17 pro max,1.0,,,1,50
1765852334265,fastvlm_0.5b_stage3,2357,iphone 17 pro max,1.0,,,1,50
1765852339592,fastvlm_0.5b_stage3,2366,iphone 17 pro max,1.0,,,1,50
1765852343466,fastvlm_0.5b_stage3,2090,iphone 17 pro max,1.0,,,1,50
1765852347413,fastvlm_0.5b_stage3,2139,iphone 17 pro max,1.0,,,1,50
1765852352813,fastvlm_0.5b_stage3,2422,iphone 17 pro max,1.0,,,1,50
1765852358211,fastvlm_0.5b_stage3,2434,iphone 17 pro max,1.0,,,1,50
1765852362115,fastvlm_0.5b_stage3,2105,iphone 17 pro max,1.0,,,1,50
1765852366075,fastvlm_0.5b_stage3,2149,iphone 17 pro max,1.0,,,1,50
1765852371532,fastvlm_0.5b_stage3,2471,iphone 17 pro max,1.0,,,1,50
1765852375447,fastvlm_0.5b_stage3,2120,iphone 17 pro max,1.0,,,1,50
1765852379465,fastvlm_0.5b_stage3,2067,iphone 17 pro max,1.0,,,1,50
