request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage,run_id
1766030369983,Qwen2-VL-2B-Instruct-4bit,3717,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030373659,Qwen2-VL-2B-Instruct-4bit,3665,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030377907,Qwen2-VL-2B-Instruct-4bit,4245,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030381798,Qwen2-VL-2B-Instruct-4bit,3887,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030385746,Qwen2-VL-2B-Instruct-4bit,3945,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030390276,Qwen2-VL-2B-Instruct-4bit,4527,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030398549,Qwen2-VL-2B-Instruct-4bit,8270,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030403952,Qwen2-VL-2B-Instruct-4bit,5400,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030408908,Qwen2-VL-2B-Instruct-4bit,4955,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030413280,Qwen2-VL-2B-Instruct-4bit,4369,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030417589,Qwen2-VL-2B-Instruct-4bit,4305,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,7
1766030421947,Qwen2-VL-2B-Instruct-4bit,4355,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030428442,Qwen2-VL-2B-Instruct-4bit,6492,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030433382,Qwen2-VL-2B-Instruct-4bit,4937,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030437900,Qwen2-VL-2B-Instruct-4bit,4515,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030442480,Qwen2-VL-2B-Instruct-4bit,4576,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030447087,Qwen2-VL-2B-Instruct-4bit,4604,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030451729,Qwen2-VL-2B-Instruct-4bit,4639,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030456886,Qwen2-VL-2B-Instruct-4bit,5154,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030462846,Qwen2-VL-2B-Instruct-4bit,5956,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030468590,Qwen2-VL-2B-Instruct-4bit,5742,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030473760,Qwen2-VL-2B-Instruct-4bit,5168,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030495788,Qwen2-VL-2B-Instruct-4bit,22026,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
1766030501287,Qwen2-VL-2B-Instruct-4bit,5496,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,7
