request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage,run_id
1765954771904,Qwen3-VL-4B-Instruct-4bit,12058,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,5
1765954782955,Qwen3-VL-4B-Instruct-4bit,11039,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,5
1765954794403,Qwen3-VL-4B-Instruct-4bit,11445,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,5
1765954806160,Qwen3-VL-4B-Instruct-4bit,11753,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,5
1765954818106,Qwen3-VL-4B-Instruct-4bit,11943,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,75,5
1765954830540,Qwen3-VL-4B-Instruct-4bit,12431,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954843251,Qwen3-VL-4B-Instruct-4bit,12707,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954856365,Qwen3-VL-4B-Instruct-4bit,13112,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954869635,Qwen3-VL-4B-Instruct-4bit,13265,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954883027,Qwen3-VL-4B-Instruct-4bit,13389,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954896500,Qwen3-VL-4B-Instruct-4bit,13471,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954910100,Qwen3-VL-4B-Instruct-4bit,13598,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954923842,Qwen3-VL-4B-Instruct-4bit,13741,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954937640,Qwen3-VL-4B-Instruct-4bit,13796,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954951466,Qwen3-VL-4B-Instruct-4bit,13823,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954965383,Qwen3-VL-4B-Instruct-4bit,13915,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954979277,Qwen3-VL-4B-Instruct-4bit,13891,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765954993140,Qwen3-VL-4B-Instruct-4bit,13861,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765955007096,Qwen3-VL-4B-Instruct-4bit,13954,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765955021171,Qwen3-VL-4B-Instruct-4bit,14072,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765955035550,Qwen3-VL-4B-Instruct-4bit,14377,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,1,75,5
1765955050287,Qwen3-VL-4B-Instruct-4bit,14735,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955065002,Qwen3-VL-4B-Instruct-4bit,14712,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955079909,Qwen3-VL-4B-Instruct-4bit,14905,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955094852,Qwen3-VL-4B-Instruct-4bit,14941,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955109914,Qwen3-VL-4B-Instruct-4bit,15060,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955125509,Qwen3-VL-4B-Instruct-4bit,15593,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955140876,Qwen3-VL-4B-Instruct-4bit,15364,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955155758,Qwen3-VL-4B-Instruct-4bit,14879,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955170311,Qwen3-VL-4B-Instruct-4bit,14552,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955184410,Qwen3-VL-4B-Instruct-4bit,14096,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955198450,Qwen3-VL-4B-Instruct-4bit,14038,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955212928,Qwen3-VL-4B-Instruct-4bit,14477,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955227840,Qwen3-VL-4B-Instruct-4bit,14910,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955242862,Qwen3-VL-4B-Instruct-4bit,15020,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955257843,Qwen3-VL-4B-Instruct-4bit,14978,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955272581,Qwen3-VL-4B-Instruct-4bit,14736,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955287254,Qwen3-VL-4B-Instruct-4bit,14671,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955301867,Qwen3-VL-4B-Instruct-4bit,14611,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955316388,Qwen3-VL-4B-Instruct-4bit,14519,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955330765,Qwen3-VL-4B-Instruct-4bit,14376,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955345057,Qwen3-VL-4B-Instruct-4bit,14290,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955359406,Qwen3-VL-4B-Instruct-4bit,14348,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955380143,Qwen3-VL-4B-Instruct-4bit,20735,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955400686,Qwen3-VL-4B-Instruct-4bit,20541,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955414816,Qwen3-VL-4B-Instruct-4bit,14126,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955435231,Qwen3-VL-4B-Instruct-4bit,20414,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
1765955449315,Qwen3-VL-4B-Instruct-4bit,14081,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,2,75,5
