request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage,run_id
1765789017754,fastvlm_7b_stage3,18654,iphone 17 pro max,1.0,,,2,90,1
1765789041935,fastvlm_7b_stage3,18649,iphone 17 pro max,1.0,,,2,90,1
1765789066097,fastvlm_7b_stage3,18642,iphone 17 pro max,1.0,,,2,90,1
1765789090204,fastvlm_7b_stage3,18578,iphone 17 pro max,1.0,,,2,90,1
1765789114289,fastvlm_7b_stage3,18578,iphone 17 pro max,1.0,,,2,90,1
1765789138422,fastvlm_7b_stage3,18626,iphone 17 pro max,1.0,,,2,90,1
1765789162569,fastvlm_7b_stage3,18621,iphone 17 pro max,1.0,,,2,90,1
1765789186672,fastvlm_7b_stage3,18588,iphone 17 pro max,1.0,,,2,90,1
1765789210802,fastvlm_7b_stage3,18598,iphone 17 pro max,1.0,,,2,90,1
1765789235030,fastvlm_7b_stage3,18659,iphone 17 pro max,1.0,,,2,90,1
1765789259265,fastvlm_7b_stage3,18691,iphone 17 pro max,1.0,,,2,90,1
1765789283533,fastvlm_7b_stage3,18706,iphone 17 pro max,1.0,,,2,90,1
1765789307742,fastvlm_7b_stage3,18663,iphone 17 pro max,1.0,,,2,90,1
1765789332025,fastvlm_7b_stage3,18712,iphone 17 pro max,1.0,,,2,90,1
1765789356358,fastvlm_7b_stage3,18758,iphone 17 pro max,1.0,,,2,90,1
1765789380715,fastvlm_7b_stage3,18780,iphone 17 pro max,1.0,,,2,90,1
1765789405043,fastvlm_7b_stage3,18755,iphone 17 pro max,1.0,,,2,90,1
1765789429428,fastvlm_7b_stage3,18788,iphone 17 pro max,1.0,,,2,90,1
1765789453849,fastvlm_7b_stage3,18823,iphone 17 pro max,1.0,,,2,90,1
1765789478304,fastvlm_7b_stage3,18858,iphone 17 pro max,1.0,,,2,90,1
1765789502793,fastvlm_7b_stage3,18863,iphone 17 pro max,1.0,,,2,90,1
1765789527016,fastvlm_7b_stage3,18613,iphone 17 pro max,1.0,,,2,90,1
1765789551550,fastvlm_7b_stage3,18884,iphone 17 pro max,1.0,,,2,90,1
1765789576091,fastvlm_7b_stage3,18920,iphone 17 pro max,1.0,,,2,90,1
1765789600630,fastvlm_7b_stage3,18891,iphone 17 pro max,1.0,,,2,90,1
1765789625227,fastvlm_7b_stage3,18934,iphone 17 pro max,1.0,,,2,85,1
1765789649910,fastvlm_7b_stage3,19015,iphone 17 pro max,1.0,,,2,85,1
1765789674598,fastvlm_7b_stage3,19018,iphone 17 pro max,1.0,,,2,85,1
1765789699280,fastvlm_7b_stage3,19012,iphone 17 pro max,1.0,,,2,85,1
1765789724093,fastvlm_7b_stage3,19139,iphone 17 pro max,1.0,,,2,85,1
1765789748932,fastvlm_7b_stage3,19144,iphone 17 pro max,1.0,,,2,85,1
1765789773927,fastvlm_7b_stage3,19270,iphone 17 pro max,1.0,,,2,85,1
1765789798363,fastvlm_7b_stage3,18821,iphone 17 pro max,1.0,,,2,85,1
1765789822819,fastvlm_7b_stage3,18855,iphone 17 pro max,1.0,,,2,85,1
1765789847362,fastvlm_7b_stage3,18915,iphone 17 pro max,1.0,,,2,85,1
1765789871906,fastvlm_7b_stage3,18906,iphone 17 pro max,1.0,,,2,85,1
1765789896533,fastvlm_7b_stage3,18981,iphone 17 pro max,1.0,,,2,85,1
1765789921200,fastvlm_7b_stage3,19012,iphone 17 pro max,1.0,,,2,85,1
1765789945862,fastvlm_7b_stage3,19005,iphone 17 pro max,1.0,,,2,85,1
1765789970615,fastvlm_7b_stage3,19072,iphone 17 pro max,1.0,,,2,85,1
1765789995459,fastvlm_7b_stage3,19147,iphone 17 pro max,1.0,,,2,85,1
1765790020321,fastvlm_7b_stage3,19018,iphone 17 pro max,1.0,,,2,85,1
1765790048317,fastvlm_7b_stage3,19199,iphone 17 pro max,1.0,,,2,85,1
1765790076109,fastvlm_7b_stage3,18973,iphone 17 pro max,1.0,,,2,85,1
1765790104290,fastvlm_7b_stage3,19284,iphone 17 pro max,1.0,,,2,85,1
1765790132399,fastvlm_7b_stage3,19259,iphone 17 pro max,1.0,,,2,85,1
1765790160573,fastvlm_7b_stage3,19313,iphone 17 pro max,1.0,,,2,85,1
1765790188796,fastvlm_7b_stage3,19301,iphone 17 pro max,1.0,,,2,85,1
1765790219749,fastvlm_7b_stage3,18999,iphone 17 pro max,1.0,,,2,85,1
1765790251146,fastvlm_7b_stage3,19311,iphone 17 pro max,1.0,,,2,85,1
1765790282803,fastvlm_7b_stage3,19632,iphone 17 pro max,1.0,,,2,85,1
